r_angstrom,s30mM_1pct_pH6_gamma23_mean,s30mM_1pct_pH6_SE_raw,s30mM_1pct_pH6_SE_corrected_x8.5,s30mM_1pct_pH8_gamma23_mean,s30mM_1pct_pH8_SE_raw,s30mM_1pct_pH8_SE_corrected_x8.5,s30mM_10pct_pH6_gamma23_mean,s30mM_10pct_pH6_SE_raw,s30mM_10pct_pH6_SE_corrected_x8.5,s30mM_10pct_pH8_gamma23_mean,s30mM_10pct_pH8_SE_raw,s30mM_10pct_pH8_SE_corrected_x8.5,s200mM_1pct_pH6_gamma23_mean,s200mM_1pct_pH6_SE_raw,s200mM_1pct_pH6_SE_corrected_x8.5,s200mM_1pct_pH8_gamma23_mean,s200mM_1pct_pH8_SE_raw,s200mM_1pct_pH8_SE_corrected_x8.5,s200mM_10pct_pH6_gamma23_mean,s200mM_10pct_pH6_SE_raw,s200mM_10pct_pH6_SE_corrected_x8.5,s200mM_10pct_pH8_gamma23_mean,s200mM_10pct_pH8_SE_raw,s200mM_10pct_pH8_SE_corrected_x8.5
7.3,8.25634,0.49034,4.16791,-2.16146,0.25561,2.17267,0.05694,2.24753,19.10399,-60.78667,2.05583,17.47456,3.97345,0.34049,2.89419,-4.88416,0.25560,2.17263,22.25255,2.47396,21.02865,-46.96366,1.74475,14.83033
7.4,8.20135,0.49200,4.18201,-2.27764,0.25557,2.17238,0.06907,2.25274,19.14830,-61.28072,2.06743,17.57320,3.91759,0.33947,2.88549,-4.95923,0.25702,2.18465,21.92873,2.48313,21.10659,-47.32928,1.75751,14.93880
7.5,8.13242,0.49370,4.19645,-2.35415,0.25703,2.18475,0.21025,2.26282,19.23398,-61.79768,2.07757,17.65937,3.86004,0.33962,2.88676,-5.05937,0.25789,2.19204,21.92863,2.48987,21.16393,-47.66662,1.76760,15.02456
7.6,8.02886,0.49690,4.22362,-2.49118,0.25810,2.19388,0.18866,2.26637,19.26412,-62.27057,2.09279,17.78871,3.76642,0.33841,2.87648,-5.15745,0.25992,2.20929,21.78998,2.50358,21.28044,-48.17657,1.77874,15.11931
7.7,8.00202,0.50079,4.25668,-2.55802,0.25812,2.19399,0.29856,2.26974,19.29278,-62.79836,2.10485,17.89121,3.67192,0.33867,2.87865,-5.30964,0.26073,2.21622,21.62102,2.51751,21.39880,-48.57854,1.78714,15.19071
7.8,7.90246,0.50384,4.28262,-2.69479,0.25812,2.19401,0.19617,2.27737,19.35761,-63.45864,2.12169,18.03440,3.58028,0.33961,2.88670,-5.41666,0.26240,2.23042,21.47967,2.53278,21.52860,-49.05694,1.79833,15.28579
7.9,7.83251,0.50824,4.32006,-2.80413,0.25925,2.20364,-0.00523,2.28454,19.41860,-64.28665,2.13099,18.11345,3.47283,0.34044,2.89372,-5.52827,0.26411,2.24491,21.21321,2.54765,21.65506,-49.44373,1.80841,15.37147
8.0,7.74583,0.51116,4.34486,-2.93389,0.25957,2.20633,-0.13433,2.28934,19.45937,-64.84919,2.14405,18.22440,3.42840,0.33908,2.88221,-5.65275,0.26449,2.24814,20.97115,2.56038,21.76319,-49.94560,1.81763,15.44989
8.1,7.68796,0.51335,4.36347,-3.03913,0.26178,2.22509,-0.16881,2.29016,19.46637,-65.32866,2.15044,18.27876,3.31943,0.33986,2.88883,-5.75990,0.26517,2.25396,20.67862,2.57183,21.86056,-50.31129,1.83120,15.56518
8.2,7.60091,0.51550,4.38175,-3.17216,0.26368,2.24127,-0.26907,2.30050,19.55425,-65.84816,2.16473,18.40023,3.23042,0.34080,2.89677,-5.84233,0.26599,2.26088,20.44174,2.58347,21.95948,-50.78854,1.84039,15.64331
8.3,7.51635,0.51901,4.41160,-3.24617,0.26271,2.23301,-0.33971,2.30619,19.60265,-66.22712,2.17441,18.48250,3.16389,0.33980,2.88831,-5.99740,0.26684,2.26815,20.17523,2.59762,22.07980,-51.39136,1.84881,15.71490
8.4,7.47179,0.52102,4.42867,-3.39359,0.26266,2.23265,-0.34217,2.31433,19.67183,-66.81873,2.18754,18.59406,3.03285,0.34075,2.89638,-6.11538,0.26838,2.28125,19.91988,2.61012,22.18603,-51.67853,1.85595,15.77555
8.5,7.38526,0.52256,4.44174,-3.48334,0.26422,2.24585,-0.39410,2.31950,19.71573,-67.39379,2.19720,18.67617,2.91786,0.34252,2.91145,-6.20213,0.26944,2.29028,19.50085,2.62536,22.31554,-52.23880,1.86713,15.87060
8.6,7.29784,0.52319,4.44711,-3.54569,0.26631,2.26362,-0.41459,2.32576,19.76899,-67.87012,2.20812,18.76899,2.74712,0.34197,2.90672,-6.32552,0.27119,2.30513,19.40187,2.64321,22.46725,-52.67459,1.87297,15.92021
8.7,7.19178,0.52614,4.47218,-3.65376,0.26627,2.26328,-0.43181,2.33354,19.83511,-68.29631,2.21289,18.80958,2.62428,0.34174,2.90482,-6.42306,0.27276,2.31846,19.13390,2.66228,22.62935,-53.09609,1.88169,15.99440
